product,price,range
"Meal, Inexpensive Restaurant ", 15.52 $,11.00-28.00
"Meal for 2 People, Mid-range Restaurant, Three-course ", 66.79 $,50.00-100.00
McMeal at McDonalds (or Equivalent Combo Meal) , 8.00 $,7.00-10.00
Domestic Beer (0.5 liter draught) , 5.75 $,4.00-8.00
Imported Beer (0.33 liter bottle) , 7.50 $,6.00-9.00
Cappuccino (regular) , 4.74 $,3.00-7.00
Coke/Pepsi (0.33 liter bottle) , 1.99 $,1.50-3.00
Water (0.33 liter bottle)  , 1.60 $,1.00-2.50
"Milk (regular), (1 liter) ", 0.85 $,0.66-1.19
Loaf of Fresh White Bread (500g) , 2.74 $,1.32-4.96
"Rice (white), (1kg) ", 3.38 $,1.65-6.59
Eggs (regular) (12) , 2.48 $,1.20-3.99
Local Cheese (1kg) , 14.35 $,6.37-33.07
Chicken Fillets (1kg) , 8.92 $,3.95-15.43
Beef Round (1kg) (or Equivalent Back Leg Red Meat) , 12.52 $,8.38-19.84
Apples (1kg) , 3.81 $,2.18-6.61
Banana (1kg) , 1.48 $,1.08-3.92
Oranges (1kg) , 3.48 $,2.18-6.61
Tomato (1kg) , 3.63 $,1.74-5.51
Potato (1kg) , 1.85 $,1.01-3.31
Onion (1kg) , 2.09 $,1.30-2.84
Lettuce (1 head) , 1.45 $,0.99-2.00
Water (1.5 liter bottle) , 1.93 $,0.99-3.35
Bottle of Wine (Mid-Range) , 13.50 $,9.00-20.00
Domestic Beer (0.5 liter bottle) , 2.74 $,1.43-4.29
Imported Beer (0.33 liter bottle) , 2.55 $,1.50-4.00
Cigarettes 20 Pack (Marlboro) , 7.12 $,6.79-8.00
One-way Ticket (Local Transport) , 3.00 $,2.30-5.00
Monthly Pass (Regular Price) , 114.00 $,100.00-200.00
Taxi Start (Normal Tariff) , 2.50 $,2.50-3.00
Taxi 1km (Normal Tariff) , 1.40 $,1.24-2.95
Taxi 1hour Waiting (Normal Tariff) , 22.50 $,20.00-30.00
Gasoline (1 liter) , 0.65 $,0.53-0.79
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ," 23,000.00 $","19,000.00-26,500.00"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ," 21,086.48 $","19,500.00-24,000.00"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ", 132.81 $,77.27-226.67
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) , 0.23 $,0.03-0.30
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ", 63.20 $,50.00-80.00
"Fitness Club, Monthly Fee for 1 Adult ", 44.68 $,15.00-100.00
Tennis Court Rent (1 Hour on Weekend) , 11.83 $,0.00-20.00
"Cinema, International Release, 1 Seat ", 12.50 $,10.00-15.50
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child "," 1,214.71 $","1,000.00-1,550.00"
"International Primary School, Yearly for 1 Child "," 15,966.13 $","9,600.00-30,000.00"
1 Pair of Jeans (Levis 501 Or Similar) , 45.55 $,29.00-69.50
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ", 37.75 $,20.00-65.00
1 Pair of Nike Running Shoes (Mid-Range) , 75.62 $,45.00-110.00
1 Pair of Men Leather Business Shoes , 104.26 $,50.00-175.00
Apartment (1 bedroom) in City Centre ," 1,679.30 $","1,300.00-2,200.00"
Apartment (1 bedroom) Outside of Centre ," 1,346.84 $","1,100.00-1,600.00"
Apartment (3 bedrooms) in City Centre ," 2,792.00 $","2,300.00-3,500.00"
Apartment (3 bedrooms) Outside of Centre ," 2,286.54 $","1,900.00-2,800.00"
Price per Square Meter to Buy Apartment in City Centre ," 5,198.29 $","3,767.37-8,836.55"
Price per Square Meter to Buy Apartment Outside of Centre ," 2,919.77 $","2,152.78-3,745.84"
Average Monthly Net Salary (After Tax) ," 4,522.58 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ", 3.55,2.65-4.50
